,date,variable,value
422,2020-07-16,Proficiency,26
423,2020-07-17,Proficiency,34
424,2020-07-18,Proficiency,51
425,2020-07-19,Proficiency,43
426,2020-07-20,Proficiency,53
427,2020-07-21,Proficiency,27
428,2020-07-22,Proficiency,26
429,2020-07-23,Proficiency,27
430,2020-07-24,Proficiency,28
431,2020-07-25,Proficiency,14
432,2020-07-26,Proficiency,71
433,2020-07-27,Proficiency,31
434,2020-07-28,Proficiency,39
435,2020-07-29,Proficiency,48
436,2020-07-30,Proficiency,14
437,2020-07-31,Proficiency,22
438,2020-08-01,Proficiency,15
439,2020-08-02,Proficiency,44
440,2020-08-03,Proficiency,72
441,2020-08-04,Proficiency,32
442,2020-08-05,Proficiency,46
443,2020-08-06,Proficiency,20
444,2020-08-07,Proficiency,43
445,2020-08-08,Proficiency,54
446,2020-08-09,Proficiency,45
447,2020-08-10,Proficiency,33
448,2020-08-11,Proficiency,26
449,2020-08-12,Proficiency,41
450,2020-08-13,Proficiency,52
451,2020-08-14,Proficiency,54
452,2020-08-15,Proficiency,22
453,2020-08-16,Proficiency,56
454,2020-08-17,Proficiency,39
455,2020-05-19,Martial,21
456,2020-05-20,Martial,26
457,2020-05-21,Martial,19
458,2020-05-22,Martial,17
459,2020-05-23,Martial,22
460,2020-05-24,Martial,23
461,2020-05-25,Martial,17
462,2020-05-26,Martial,22
463,2020-05-27,Martial,15
464,2020-05-28,Martial,18
465,2020-05-29,Martial,19
466,2020-05-30,Martial,22
467,2020-05-31,Martial,33
468,2020-06-01,Martial,58
469,2020-06-02,Martial,97
470,2020-06-03,Martial,39
471,2020-06-04,Martial,31
472,2020-06-05,Martial,23
473,2020-06-06,Martial,23
474,2020-06-07,Martial,20
475,2020-06-08,Martial,23
476,2020-06-09,Martial,22
477,2020-06-10,Martial,21
478,2020-06-11,Martial,25
479,2020-06-12,Martial,20
480,2020-06-13,Martial,23
481,2020-06-14,Martial,28
482,2020-06-15,Martial,28
483,2020-06-16,Martial,26
484,2020-06-17,Martial,18
485,2020-06-18,Martial,26
486,2020-06-19,Martial,32
487,2020-06-20,Martial,23
488,2020-06-21,Martial,27
